YEAR,CURRENT ROUND,A_TEAM,B_TEAM,A_SEED,B_SEED,A_SCORE,B_SCORE,A_WIN,SCORE_DIFF,DIFF_SEED,DIFF_KADJ O,DIFF_KADJ D,DIFF_KADJ EM,DIFF_BADJ EM,DIFF_BADJ O,DIFF_BADJ D,DIFF_BARTHAG,DIFF_KADJ T,DIFF_EFG%,DIFF_TOV%,DIFF_OREB%,DIFF_FTR,DIFF_EFG%D,DIFF_TOV%D,DIFF_DREB%,DIFF_FTRD,DIFF_2PT%,DIFF_3PT%,DIFF_2PT%D,DIFF_3PT%D,DIFF_BLK%,DIFF_AST%,DIFF_WIN%,DIFF_FT%,DIFF_Z_EFG%,DIFF_Z_TOV%,DIFF_Z_OREB%,DIFF_Z_FTR,DIFF_Z_EFG%D,DIFF_Z_TOV%D,DIFF_Z_DREB%,DIFF_Z_FTRD,DIFF_Z_2PT%,DIFF_Z_3PT%,DIFF_Z_2PT%D,DIFF_Z_3PT%D,DIFF_Z_2PTR,DIFF_Z_3PTR,DIFF_Z_BLK%,DIFF_Z_AST%,DIFF_Z_FT%,DIFF_Z_WIN%,DIFF_ELITE SOS,DIFF_WAB,DIFF_EXP,DIFF_TALENT,DIFF_AVG HGT,DIFF_EFF HGT,DIFF_NET RPI,DIFF_ELO,DIFF_Q1 PLUS Q2 W,DIFF_R SCORE,DIFF_TR RATING,DIFF_SOS RATING,DIFF_LUCK RATING,DIFF_CONSISTENCY TR RATING,DIFF_V 1-25 WINS,DIFF_SEED
2008,64,North Carolina,Mount St. Mary's,1,16,113.0,74.0,1,39.0,-15,21.669300000000007,-7.516500000000008,29.18545,30.2,22.900000000000006,-7.299999999999997,0.5089999999999999,6.688199999999995,2.1999999999999957,-1.8999999999999986,12.399999999999999,0.3999999999999986,1.6000000000000014,-0.8000000000000007,4.299999999999997,-13.100000000000001,3.1000000000000014,1.0999999999999943,1.2999999999999972,1.1000000000000014,1.5,-0.5,37.86765,5.800000000000011,0.862271225163352,-0.9363797439708119,3.59382041535797,0.10839149351663988,0.6156118866330086,-0.3430149047401523,1.7250865519529945,-2.495011365452473,1.0743058559828957,0.5088883384152507,0.43039213907318513,0.5153265245524422,1.4925685098497623,-1.4925685098497643,0.483846520419433,-0.09846437958306964,1.5047294698233704,3.444241329294762,21.925,21.4,0.14700000000000002,83.613,1.531000000000006,0.6659999999999968,-157,-132,20,100.0,24.5,14.7,2.7,-1.799999999999999,5,-15
2008,64,Indiana,Arkansas,8,9,72.0,86.0,0,-14.0,-1,4.661000000000001,0.02209999999999468,4.6385999999999985,4.5,5.3999999999999915,0.8999999999999915,0.04500000000000004,-0.6022999999999996,0.6999999999999957,-1.9000000000000021,-1.5,5.600000000000001,-0.5,-1.8000000000000007,2.5,-6.5,0.6000000000000014,0.7000000000000028,-1.6000000000000014,1.0,-4.199999999999999,-2.3999999999999986,11.458330000000004,9.099999999999994,0.2743590261883382,-0.9363797439708138,-0.4347363405674963,1.5174809092329642,-0.19237871457281502,-0.7717835356653423,1.0029572976470904,-1.237982738583288,0.20793016567410927,0.3238380335369806,-0.5297134019362295,0.4684786586840378,-0.8690905247226461,0.8690905247226468,-1.3547702571744122,-0.4726290219987341,2.3608686509297647,1.042189144314423,2.085000000000001,4.3,-0.6450000000000002,-6.814999999999998,-0.02600000000001046,-1.652000000000001,-9,-11,-1,3.0999999999999943,3.400000000000002,1.0999999999999996,1.1,0.09999999999999964,0,-1
2008,64,Notre Dame,George Mason,5,12,68.0,50.0,1,18.0,-7,4.8489999999999895,-4.067399999999992,8.917399999999999,9.9,6.3999999999999915,-3.5,0.14200000000000002,7.993499999999997,0.0,-0.5,4.399999999999999,-5.5,-0.3999999999999986,-0.6999999999999993,-3.200000000000003,-4.5,-4.399999999999999,5.799999999999997,-1.6999999999999957,1.3000000000000043,-0.10000000000000142,12.999999999999993,7.722380000000001,3.1999999999999886,0.0,-0.24641572209758233,1.275226598997989,-1.4903830358538035,-0.15390297165825148,-0.3001380416476327,-1.283785340988277,-0.8570649728653532,-1.5248212149434637,2.6832294207349707,-0.562820489557242,0.6090222562892511,-0.01889327227657822,0.018893272276579567,-0.032256434694629355,2.56007386915981,0.8301955695577171,0.7023868752489073,15.312999999999999,8.0,-0.24099999999999988,66.32900000000001,1.1380000000000052,2.1909999999999883,-35,-57,3,98.3,7.499999999999998,7.5,2.5,-1.1999999999999993,4,-7
2008,64,Washington St.,Winthrop,4,13,71.0,40.0,1,31.0,-9,16.5788,-0.018799999999998818,16.59767,15.2,16.10000000000001,0.9000000000000057,0.21700000000000008,-3.1859000000000037,4.399999999999999,-2.8000000000000007,-5.699999999999996,3.5,1.6000000000000014,-1.1999999999999993,-1.0999999999999943,-4.9999999999999964,5.799999999999997,0.7000000000000028,0.5,2.700000000000003,-3.1000000000000014,4.199999999999996,10.483869999999996,13.5,1.7245424503267068,-1.3799280437464612,-1.6519980941564851,0.9484255682706022,0.6156118866330086,-0.5145223571102276,-0.4413012109647175,-0.9522944142948362,2.0099916015163837,0.32383803353698076,0.16553543810507157,1.2648923784469033,-0.5101183514676413,0.5101183514676406,-0.9999494755334954,0.8271007884977843,3.5023875590716314,0.9535574123282924,16.246000000000002,9.100000000000001,0.42700000000000005,20.552,1.7579999999999956,1.6569999999999965,-85,-70,9,98.6,8.600000000000001,8.1,2.2,-1.6999999999999993,1,-9
2008,64,Oklahoma,Saint Joseph's,6,11,72.0,64.0,1,8.0,-5,-5.244,-5.753399999999999,0.5093000000000014,0.8999999999999986,-5.299999999999997,-6.200000000000003,0.026000000000000023,-0.9954999999999998,-4.5,0.3000000000000007,1.0,-1.8999999999999986,-4.099999999999994,-1.4000000000000021,4.099999999999994,-2.200000000000003,-3.799999999999997,-3.700000000000003,-1.8000000000000043,-5.0,-2.6999999999999993,-6.699999999999996,3.030309999999993,-4.5,-1.7637365969250416,0.1478494332585497,0.2898242270449976,-0.5148595942040409,-1.577505459497081,-0.6002760832952668,1.644849968141226,-0.41900954228972875,-1.3168910492693544,-1.7117153201240352,-0.5959275771782591,-2.342393293420189,0.43454526236132307,-0.4345452623613231,-0.8709237367549792,-1.3194226864131327,-1.1674625196905437,0.27562098367802557,9.356000000000002,4.0,-0.30499999999999994,28.959000000000003,-0.5220000000000056,-0.05700000000000216,-17,-12,3,31.9,1.8000000000000007,3.3000000000000007,2.8,0.9000000000000004,1,-5
2008,64,Louisville,Boise St.,3,14,79.0,61.0,1,18.0,-11,3.222999999999999,-15.854099999999988,19.07761,19.299999999999997,4.099999999999994,-15.199999999999989,0.3380000000000001,-5.525500000000008,-5.299999999999997,-1.3999999999999986,3.1999999999999993,-3.8999999999999986,-6.100000000000001,2.0,-1.2000000000000028,-0.3999999999999986,-3.6000000000000014,-5.399999999999999,-6.600000000000001,-3.700000000000003,7.8999999999999995,-2.5,0.0,-1.0999999999999943,-2.0772897697117148,-0.6899640218732297,0.9274375265439921,-1.056817061787242,-2.3470203177883437,0.8575372618503799,-0.4814195028706046,-0.07618355314358669,-1.247580994044653,-2.4981791158566975,-2.185067782986945,-1.733371037130941,-0.6423712574036955,0.6423712574036956,2.5482583408756803,-0.4923218979153483,-0.2853797270354649,0.0,18.795,7.1,-0.7029999999999998,82.651,0.4890000000000043,1.382000000000005,-74,-45,6,99.60000000000001,12.8,9.8,-3.7,-0.6999999999999993,6,-11
2008,64,Butler,South Alabama,7,10,81.0,61.0,1,20.0,-3,3.359000000000009,-3.3148999999999944,6.673599999999999,6.599999999999998,3.700000000000003,-2.9000000000000057,0.09399999999999997,-5.498800000000003,0.10000000000000142,-3.700000000000003,-8.2,-8.900000000000006,0.10000000000000142,2.3000000000000007,-1.0999999999999943,0.0,-1.2000000000000028,0.6000000000000014,0.6999999999999957,-0.5,-0.9000000000000004,-4.199999999999996,10.625,2.6000000000000085,0.03919414659833487,-1.8234763435221102,-2.3765586617689802,-2.4117107307452477,0.03847574291456357,0.9861678511279371,-0.4413012109647175,0.0,-0.41586033134821854,0.27757545731741157,0.23174961334709882,-0.23423932934201885,-2.8528841137634724,2.852884113763473,-0.29030791225165986,-0.8271007884977842,0.6745339002656497,0.9663938513152215,3.1889999999999983,5.0,-0.06300000000000017,-10.217999999999998,0.32500000000000284,0.03900000000000148,-21,-32,6,57.800000000000004,4.699999999999999,3.2,1.5999999999999999,-3.4000000000000004,0,-3
2008,64,Tennessee,American,2,15,72.0,57.0,1,15.0,-13,9.479,-11.172600000000003,20.6512,23.6,11.299999999999997,-12.299999999999997,0.42100000000000004,9.986700000000006,0.29999999999999716,-4.400000000000002,4.700000000000003,-5.300000000000004,1.7000000000000028,4.900000000000002,-4.099999999999994,1.3999999999999986,5.200000000000003,-4.5,6.199999999999996,-4.100000000000001,1.0,5.300000000000004,21.875,-8.899999999999991,0.11758243979500167,-2.1684583544587253,1.3621738671114896,-1.4361872890954848,0.6540876295475722,2.1009662915334317,-1.644849968141226,0.266642436002554,1.802061435842277,-2.0818159298805816,2.052639432502886,-1.9207625006045554,0.18893272276579287,-0.18893272276579287,0.32256434694628866,1.0437224235805393,-2.3089814278324066,1.9896343997666324,20.28,15.0,-0.34999999999999987,46.79,1.475999999999999,0.7939999999999969,-90,-92,15,99.9,19.1,13.100000000000001,0.7,2.1000000000000014,4,-13
2008,64,Kansas,Portland St.,1,16,85.0,61.0,1,24.0,-15,13.022000000000006,-15.105899999999991,28.12805,31.9,15.700000000000003,-16.200000000000003,0.386,1.0755000000000052,1.5999999999999943,-2.0,4.0,-0.7000000000000028,-5.200000000000003,1.3999999999999986,2.299999999999997,-4.4999999999999964,3.5999999999999943,0.0,-8.5,-0.20000000000000284,8.299999999999999,1.3999999999999986,20.909090000000006,3.700000000000003,0.627106345573346,-0.9856628883903291,1.1592969081799904,-0.18968511365412122,-2.0007386315572773,0.6002760832952654,0.9227207138353221,-0.8570649728653525,1.2475809940446505,0.0,-2.8141024477862167,-0.0936957317368089,2.2294061286363553,-2.2294061286363562,2.677284079654196,0.27570026283259486,0.9599136273011144,1.9017803305973262,16.33,13.3,-0.01399999999999979,88.27799999999999,1.6289999999999907,1.2690000000000055,-85,-66,13,99.9,21.1,11.600000000000001,-1.4,-3.299999999999999,4,-15
2008,64,UNLV,Kent St.,8,9,71.0,58.0,1,13.0,-1,1.7210000000000036,1.9290999999999912,-0.20809999999999995,1.700000000000001,1.4000000000000057,-0.29999999999999716,0.026999999999999913,-1.0328000000000088,-4.100000000000001,-5.800000000000001,-6.600000000000001,-8.899999999999999,-0.10000000000000142,-2.599999999999998,3.5,-6.100000000000001,-3.6999999999999957,-4.100000000000001,1.1000000000000014,-1.8000000000000007,-2.5999999999999996,3.5,-4.227940000000004,3.8000000000000114,-1.6069600105317052,-2.858422376331955,-1.9128398984969845,-2.4117107307452454,-0.038475742914563515,-1.114798440405493,1.4041402167059267,-1.1617991854397014,-1.2822360216570026,-1.8967656250023086,0.36417796383115797,-0.8432615856312684,-1.757074321721873,1.7570743217218734,-0.8386673020603505,0.6892506570814877,0.9858572388497955,-0.38455107950396994,3.0280000000000022,-0.09999999999999964,0.08200000000000007,5.1129999999999995,0.5750000000000028,-0.019000000000005457,3,4,-2,5.5,1.4000000000000004,1.1999999999999993,-1.5999999999999996,-0.40000000000000036,0,-1
